"0","1","Bernard17","Mallet","Bernard","+9648560575318","bernard46@club-internet.fr","$2y$13$lcEEN1QHwD/lQBMEWMzBQ.8itARl.v60YhKGhM5Fg5C3YuU5XevHm","ROLE_USER","1","/img.pp.png"
"0","3","Jean14","Martins","Jean","+2995390044972","jean14@laposte.net","$2y$13$lcEEN1QHwD/lQBMEWMzBQ.8itARl.v60YhKGhM5Fg5C3YuU5XevHm","ROLE_USER","1","/img.pp.png"
"0","2","Claude567","Maillet","Claude","+9636423785587","Claude567@ifrance.com","$2y$13$lcEEN1QHwD/lQBMEWMzBQ.8itARl.v60YhKGhM5Fg5C3YuU5XevHm","ROLE_USER","1","/img.pp.png"
"0","3","Michel77","Leblanc","Michel","+8472434945419","Michel.Leblanc@noos.fr","$2y$13$lcEEN1QHwD/lQBMEWMzBQ.8itARl.v60YhKGhM5Fg5C3YuU5XevHm","ROLE_USER","1","/img.pp.png"
"0","2","Florent111","Joseph","Florent","+3140368573785","Joseph.Florent@tiscali.fr","$2y$13$lcEEN1QHwD/lQBMEWMzBQ.8itARl.v60YhKGhM5Fg5C3YuU5XevHm","ROLE_USER","1","/img.pp.png"
"0","3","Adrien32","Lefebvre","Adrien","+2738039907121","zmaillot@sfr.fr","$2y$13$lcEEN1QHwD/lQBMEWMzBQ.8itARl.v60YhKGhM5Fg5C3YuU5XevHm","ROLE_USER","1","/img.pp.png"
"0","1","Harry45","Ferreira","Harry","+2978755869592","harry678@wanadoo.fr","$2y$13$lcEEN1QHwD/lQBMEWMzBQ.8itARl.v60YhKGhM5Fg5C3YuU5XevHm","ROLE_USER","1","/img.pp.png"
"0","3","Paul09","Cousin","Paul","+7277094442878","paul.cousin@laposte.net","$2y$13$lcEEN1QHwD/lQBMEWMzBQ.8itARl.v60YhKGhM5Fg5C3YuU5XevHm","ROLE_USER","1","/img.pp.png"
"0","1","Richard93","Albert","Richard","+2014542787647","richard678@wanadoo.fr","$2y$13$lcEEN1QHwD/lQBMEWMzBQ.8itARl.v60YhKGhM5Fg5C3YuU5XevHm","ROLE_USER","1","/img.pp.png"
"0","2","Lionel88","Turpin","Lionel","+8246929453140","lionel678@dbmail.com","$2y$13$lcEEN1QHwD/lQBMEWMzBQ.8itARl.v60YhKGhM5Fg5C3YuU5XevHm","ROLE_USER","1","/img.pp.png"
